neg,neu,pos,compound,date
0.179,0.696,0.125,-0.9839,2020-03-09T23:00:06+0000
0.183,0.619,0.197,0.7775,2020-03-09T23:06:21+0000
0.074,0.81,0.116,0.9963,2020-03-09T23:17:08+0000
0.186,0.738,0.076,-0.9973,2020-03-09T23:45:01+0000
0.074,0.775,0.151,0.9965,2020-03-10T00:00:08+0000
0.04,0.87,0.089,0.875,2020-03-10T03:54:13+0000
0.095,0.803,0.102,0.6463,2020-03-10T04:01:35+0000
0.096,0.802,0.102,0.5168,2020-03-10T04:09:03+0000
0.13,0.738,0.133,0.651,2020-03-10T05:15:13+0000
0.152,0.78,0.068,-0.9965,2020-03-10T09:00:24+0000
0.087,0.799,0.115,0.9751,2020-03-10T09:00:26+0000
0.211,0.686,0.103,-0.9984,2020-03-10T09:00:35+0000
0.159,0.738,0.103,-0.9981,2020-03-10T09:00:35+0000
0.122,0.774,0.104,-0.8891,2020-03-10T09:00:35+0000
0.08,0.803,0.117,0.9732,2020-03-10T09:13:53+0000
0.128,0.627,0.245,0.9984,2020-03-10T10:00:05+0000
0.065,0.857,0.078,0.9527,2020-03-10T11:11:50+0000
0.073,0.809,0.119,0.9839,2020-03-10T13:18:36+0000
0.075,0.719,0.206,0.9987,2020-03-10T14:53:17+0000
0.119,0.733,0.148,0.9882,2020-03-10T15:14:42+0000
0.1,0.749,0.151,0.98,2020-03-10T15:30:11+0000
0.091,0.814,0.095,-0.601,2020-03-10T16:07:04+0000
0.063,0.82,0.117,0.9971,2020-03-10T17:13:59+0000
0.109,0.81,0.081,-0.9644,2020-03-10T17:25:12+0000
0.066,0.816,0.118,0.9994,2020-03-10T17:41:00+0000
